DATE,ACTION,PRICE,PROFIT,TOTAL_BALANCE
2024-02-07T17:30:00.000Z,BUY,43531.8,-10.353071429362867,1142.0591689285077
2024-02-07T19:00:00.000Z,SELL,43639,0,1142.0591689285077
2024-02-07T20:30:00.000Z,BUY,44047.6,-10.693310488878907,1131.3658584396287
2024-02-07T21:15:00.000Z,SELL,44139.3,0,1131.3658584396287
2024-02-08T00:30:00.000Z,BUY,44482.1,-8.78655112956254,1122.5793073100663
2024-02-08T14:45:00.000Z,SELL,44990.9,0,1122.5793073100663
2024-02-08T15:30:00.000Z,BUY,45345.9,-8.857694647030256,1113.721612663036
2024-02-08T16:30:00.000Z,SELL,45244.1,0,1113.721612663036
2024-02-08T20:15:00.000Z,BUY,45465.4,-5.4474858132294175,1108.2741268498066
2024-02-09T03:45:00.000Z,SELL,46064.7,0,1108.2741268498066
2024-02-09T07:30:00.000Z,BUY,46301.7,-5.702001056414221,1102.5721257933924
2024-02-09T08:45:00.000Z,SELL,46415,0,1102.5721257933924
2024-02-09T09:00:00.000Z,BUY,46632.2,-5.159510195460984,1097.4126155979313
2024-02-09T13:00:00.000Z,SELL,47309.4,0,1097.4126155979313
2024-02-09T13:45:00.000Z,BUY,47572.8,-6.109958759749578,1091.3026568381817
2024-02-09T19:00:00.000Z,SELL,47583,0,1091.3026568381817
2024-02-10T11:00:00.000Z,BUY,46872.6,16.29282322295454,1107.5954800611362
2024-02-10T20:15:00.000Z,SELL,47488.5,0,1107.5954800611362
2024-02-10T20:45:00.000Z,BUY,47889.9,-9.362031348569479,1098.2334487125668
2024-02-10T22:00:00.000Z,SELL,47934.2,0,1098.2334487125668
2024-02-11T03:45:00.000Z,BUY,48269.2,-7.675275801384187,1090.5581729111825
2024-02-11T04:45:00.000Z,SELL,48407.6,0,1090.5581729111825
2024-02-12T00:30:00.000Z,BUY,48716.3,-6.9545961373356,1083.603576773847
2024-02-12T01:15:00.000Z,SELL,48461,0,1083.603576773847
2024-02-12T15:00:00.000Z,BUY,48815,-7.915554078082207,1075.6880226957649
2024-02-12T16:30:00.000Z,SELL,49750.1,0,1075.6880226957649
2024-02-12T17:30:00.000Z,BUY,50092.2,-7.396826791588752,1068.291195904176
2024-02-12T21:30:00.000Z,SELL,50135.7,0,1068.291195904176
2024-02-13T14:15:00.000Z,BUY,49159.9,20.792340566967056,1089.0835364711431
2024-02-13T15:45:00.000Z,BUY,48825.2,0,1089.0835364711431
2024-02-13T17:00:00.000Z,SELL,48497.6,-7.307369279551234,1081.7761671915919
2024-02-14T08:30:00.000Z,SELL,49774,0,1081.7761671915919
2024-02-14T09:00:00.000Z,BUY,50801.7,-22.33578508905846,1059.4403821025335
2024-02-14T10:15:00.000Z,SELL,51516,0,1059.4403821025335
2024-02-14T13:45:00.000Z,BUY,51813.1,-6.10994132934741,1053.330440773186
2024-02-15T01:30:00.000Z,SELL,51963.9,0,1053.330440773186
