STOP_LOSS,TAKE_PROFIT,FINAL_BALANCE
2.4,4.100000000000001,523.816028559263
2.4,4.300000000000002,398.4292017044238
2.6,1.5,1095.1231186791194
2.6,1.7,452.5696926113306
2.6,1.9,726.8300169331523
2.6,2.1,1113.550511644638
2.6,2.3000000000000003,1138.3330082834761
2.6,2.5000000000000004,430.4283430646171
2.6,2.7000000000000006,423.7238129437337
2.6,2.900000000000001,652.2261532346553
2.6,3.100000000000001,159.69059548437892
2.6,3.300000000000001,210.97871978664168
2.6,3.5000000000000013,406.36026513200085
2.6,3.7000000000000015,683.1146116162112
2.6,3.9000000000000017,293.9720848999341
2.6,4.100000000000001,125.03206525472382
2.6,4.300000000000002,148.04619567292283
2.8000000000000003,1.5,757.8685803626493
2.8000000000000003,1.7,517.9757238072345
2.8000000000000003,1.9,2050.1016499384846
2.8000000000000003,2.1,752.924012998192
2.8000000000000003,2.3000000000000003,424.15013219094874
2.8000000000000003,2.5000000000000004,1395.2446746201301
2.8000000000000003,2.7000000000000006,398.96122432063873
2.8000000000000003,2.900000000000001,621.2234579104958
2.8000000000000003,3.100000000000001,295.16829237036933
2.8000000000000003,3.300000000000001,317.1904431099365
2.8000000000000003,3.5000000000000013,456.93309130685964
2.8000000000000003,3.7000000000000015,616.6877965061167
2.8000000000000003,3.9000000000000017,267.46722279977786
2.8000000000000003,4.100000000000001,198.55025520017233
2.8000000000000003,4.300000000000002,341.05355126593923
